conversation_id,key_issue,key_resolution
1803,Expressing gratitude for a promotion.,Positive feedback on a promotion.
1804,Switching vitamin subscriptions.,Subscription switched to Organic Multivitamins.
1805,Short expiry date on vitamin D tablets.,Replacement tablets sent.
1806,Rude and unprofessional staff refused service near closing time.,Store manager review of unprofessional staff conduct.
1807,Hidden delivery costs.,No resolution provided; customer feedback received regarding late display of delivery costs.
1808,Racial discrimination at Romford store.,Investigation into discrimination claim.
1809,Positive feedback on staff helpfulness.,Positive feedback; no issue resolution needed.
1810,Missing order update.,Order dispatched; tracking email to follow.
1811,Positive feedback on Bury St. Edmunds store.,Positive feedback given; no issue to resolve.
1812,Out-of-stock item.,Expected back in stock within a week.
1813,Request for protein powder recommendation.,Whey or pea protein recommended for muscle recovery.
1814,Incorrect delivery address.,New shipment sent to correct address.
1815,Price comparison/higher prices.,Offered discounts and loyalty points.
1816,Missing rewards points.,Missing reward points added manually.
1817,Late vitamin delivery.,Delivery delay explained; expected end of day.
1818,Product authenticity verification.,Product authenticity confirmed.
1819,Expired discount code.,Informed customer of expired code; provided alternative discount code.
1820,Request for new organic spices (turmeric and cumin).,Feedback submitted; new spices requested.
1821,Inconsistent store closing times.,Incorrect store closing time reported; information corrected.
1822,Inquiry about additives in Mixed Nuts and Seeds.,Product contains no artificial additives or preservatives.
1823,To commend staff.,Positive feedback provided.
1824,Favorite products unavailable in Subscribe & Save program.,Products temporarily unavailable in Subscribe & Save due to stock/supplier issues.
1825,Inconsistent staff helpfulness.,Feedback forwarded to store manager.
1826,Leaking fish oil bottle.,Replacement bottle sent.
1827,No issue; expressing positive feedback.,Positive feedback shared; compliments passed on.
1828,Inaccurate store signage led to overcharge.,Refund issued for misadvertised sale.
1829,Providing positive feedback.,Positive feedback; no issue resolution needed.
1830,Double charge for a supplement.,Refund issued for duplicate charge.
1831,Positive feedback on Castle Point branch staff.,Positive feedback; no issue resolution needed.
1832,"Damaged, delayed supplement delivery.","Replacement order sent, plus discount offered."
1833,Expressing appreciation for a promotion.,Positive feedback on a promotion.
1834,Unreceived order; refund requested.,Refund processed.
1835,Broken supplement bottle in delivery.,Replacement bottle sent.
1836,Discontinued preferred product flavor.,10% discount on vanilla flavor.
1837,Iron supplements ineffective for fatigue.,Consult doctor; take with Vitamin C.
1838,In-store offer discrepancy.,Online order placed for Vitamin C.
1839,Request for information on Vitamin D benefits.,Information request: Vitamin D benefits.
1840,Understanding Penny Sale promotion details.,Information provided on Penny Sale promotion.
1841,Damaged turmeric capsule package upon arrival.,Replacement package sent.
1842,Failed delivery of Vitamin D supplements.,Re-delivery arranged.
1843,Positive feedback on Nottingham store staff.,Positive feedback given.
1844,Excessive packaging.,Feedback provided; no resolution needed.
1845,Order cancellation request.,"Order cancelled, refund processed."
1846,Order cancellation due to slow delivery.,"Order cancelled, refund issued."
1847,Expressing gratitude for fast delivery.,Positive feedback; no issue.
1848,Finding nearest store.,Nearest store location provided: Trafford Centre.
1849,Click and collect order not received by store.,"New order placed, 200 loyalty points added."
1850,Incorrect order received.,"Incorrect order shipped; correct item sent, customer can keep incorrect item."
1851,Customer worried about recalled infant drops; sought refund.,Recall was a false alarm; refund issued.
1852,Damaged shampoo delivery.,Damaged shampoo replaced.
1853,Reduced in-store offers.,Provided information on current and upcoming in-store sales and online resources.
1854,Clarifying nutritional content of Vegan Omega-3 supplement.,Clarified supplement's DHA and EPA content.
1855,Customer couldn't find advertised online-only discount on website.,In-store only offer location provided.
1856,Poor customer service in Birmingham store.,Feedback relayed to store manager.
1857,Failed delivery of online vitamin order.,Re-delivery arranged.
1858,Poor product image clarity.,Issue reported to web developers; high-resolution images emailed to customer.
1859,"Incomplete order, incorrect charge.","Refund processed for missing, out-of-stock items."
1860,Delayed order delivery.,Order delayed; arriving in 2 days; discount code offered.
1861,Gluten-free cookie mix produced hard cookies.,Refund processed.
1862,Order sent to old address.,Order resent to correct address.
1863,Manuka honey out of stock in Edinburgh store.,Product out of stock; website alternative offered.
1864,Positive feedback on Nottingham store service.,Positive feedback given on Nottingham store staff.
1865,Couldn't find advertised sale details.,Provided details on current promotions.
1866,Incomplete promotional offer fulfillment.,Missing Glucosamine sent.
1867,Damaged goods received; lack of response to prior emails.,Replacement items and discount coupon issued.
1868,Incorrect dosage of magnesium supplement.,Dosage increased to two tablets daily.
1869,"Beccles store closed early, preventing order pickup.",Home delivery arranged.
1870,Positive feedback on Oxford St store staff.,Positive feedback given; no resolution needed.
1871,Received wrong online order.,Incorrect order received; expedited replacement shipment.
1872,Website promotion not applied at checkout.,Manual discount applied.
1873,Dosage uncertainty for vitamins.,"Dosage clarification provided:  Follow higher dosage if deficient, otherwise 400 IU Vitamin D and 2.4 mcg B12 is sufficient."
1874,Delayed supplement order.,Order delayed; expedited shipping.
1875,Confusing store layout (Stowmarket).,Feedback provided; store layout to be improved.
1876,Delayed delivery.,Expedited delivery due to courier delay.
1877,Positive feedback on Oxford Circus store staff.,Positive feedback on Oxford Circus staff knowledge.
1878,Order delay.,Order delayed; shipping expedited.
1879,Seeking memory and focus supplement recommendations.,Product recommendations for memory and focus: Ginkgo Biloba and Omega-3 supplements.
1880,Preferred natural vitamin C over synthetic.,Exchange of synthetic vitamin C for natural vitamin C supplement.
1881,Delayed delivery.,Delayed delivery explained; courier issue.
1882,Delayed order delivery.,New shipment expedited; 10% discount added.
1883,Seeking advice on supplements to boost energy levels.,Provided information on B vitamins and iron supplements; advised in-store consultation.
1884,Lost package.,Replacement order sent.
1885,Suspected counterfeit tea.,Taste variation explained; genuine product confirmed.
1886,Vitamin B12 excluded from advertised sale.,Vitamin B12 excluded from promotion.
1887,Delayed delivery.,Courier delay; agent will follow up.
1888,Positive feedback on Bristol store staff.,Positive feedback given; no resolution needed.
1889,Price increase of Magnesium tablets.,Enrolled in loyalty program.
1890,Misplaced online order.,Order issue escalated; response within 24 hours.
1891,Damaged delivery; crushed protein bars.,Replacement order dispatched.
1892,Damaged goods in transit.,Replacement sent for damaged goods.
1893,Expired Muscle Fuel Anabolic.,Full refund issued for expired product.
1894,Positive feedback.,Positive feedback given.
1895,Damaged muesli packet; delayed replacement/refund.,Replacement muesli packet and refund issued.
1896,Damaged protein powder seal upon delivery.,Replacement protein powder sent.
1897,Delayed order; cancellation requested.,"Order cancelled, refund initiated."
1898,Finding keto-friendly snacks.,Recommended keto-friendly snacks (cheese crisps and mixed nuts).
1899,Incorrect item in order.,Incorrect item shipped; correct item will be sent.
1900,Unwanted sulfates in shampoo; requested exchange.,Exchange Argan Oil shampoo for sulfate-free Aloe Vera shampoo.
1901,Change click and collect order items.,Order successfully updated.
1902,Inaccurate product description (vegan labeling).,Refund issued for mislabeled product.
1903,Positive feedback.,Positive feedback shared; no issue to resolve.
1904,Incomplete order delivery.,Missing order items to be resent.
1905,Incorrect pricing/discount not applied.,Refund issued for incorrect online charge.
1906,Request for information on Omega-3 supplements.,Information provided on Omega-3 supplement options.
1907,Ineffective supplement; refund requested.,Refund issued.
1908,Missing item in online order.,Missing item to be resent next day.
1909,In-store pickup order hold duration.,Order pickup hold time: 7 days.
1910,Online-only deal not honored in-store.,Voucher issued for online-only deal.
1911,Website search functionality issues.,Guided website navigation.
1912,Racial profiling accusation at Fleet branch.,Thorough investigation promised.
1913,Late delivery of order.,15% discount for late delivery.
1914,Late protein powder delivery.,Restock notification set up.
1915,Greasy hair after using conditioner.,Use less conditioner.
1916,App connectivity issue.,Issue escalated to technical team.
1917,Incorrect repeat order fulfillment.,Replacement order processed.
1918,Order status inquiry.,Order status update: out for delivery.
1919,Obscured supplement label information.,Feedback given on label design.
1920,Order delay and lack of communication.,Order #223344 expedited; dispatch within 24 hours.
1921,Damaged/incomplete probiotic order.,Replacement sent after damaged product return.
1922,BOGO offer not applying to all selected products.,Vitamin D tablets excluded from promotion.
1923,Lack of noticeable improvement from Bladderwrack tablets.,"Continue treatment for 2 more weeks, consult healthcare provider if no improvement."
1924,Website discount not applying at checkout.,Manually applied discount to order.
1925,Racial discrimination by staff.,Investigation into racial discrimination complaint.
1926,Missing price tags in Bristol store.,Store manager notified about missing price tags.
1927,Hair thinning.,Product recommendations (Hair Burst vitamins and Biotin) for hair thinning.
1928,Damaged order upon arrival.,Reordered damaged order.
1929,Unpublished negative product review.,Review escalated to team for publishing.
1930,Rude store manager refused return.,Incident report filed; investigation promised.
1931,Missing delivery.,Replacement order sent.
1932,Incorrect sale discount applied.,Refund issued for discount error.
1933,Positive feedback on Fulham store staff.,Positive feedback; no issue resolution needed.
1934,Account deletion during system update.,Account recreated; Subscribe & Save restored.
1935,Delayed vitamin delivery.,"Delivery delayed, expected tomorrow."
1936,Price difference complaint.,500 loyalty points added to account.
1937,Needs multivitamin recommendation for women.,Recommended H&B Women's Multivitamin.
1938,Positive feedback about Newcastle store staff.,Positive feedback provided.
1939,Inquiry about loyalty program benefits.,Information about existing loyalty program benefits emailed to customer.
1940,Suspected counterfeit Omega-3 capsules.,Packaging variation confirmed; product authentic.
1941,Incorrect delivery address.,Redelivery arranged.
1942,Seeking joint pain supplement advice.,Recommended Glucosamine and Chondroitin supplements for joint pain.
1943,Uninformed store staff.,Staff training on new products.
1944,Missing delivery.,Replacement order sent.
1945,No issue; inquiry was unnecessary.,No issues; contacted to provide positive feedback.
1946,Damaged/incomplete vitamin bottle.,Replacement bottle sent.
1947,Unclear probiotic labeling.,Feedback forwarded to product team.
1948,Rewards points not applied to purchase.,Points will be applied to next purchase.
1949,Packaging change concern.,Packaging change; no quality difference.
1950,Positive feedback on staff.,Positive feedback given; no issue to resolve.
1951,Confusing nutrition label.,Protein content clarified: 20g per serving.
1952,Delayed order stuck in NZ customs.,Customs documentation sent; 10% discount offered.
1953,Reason for contact: To compliment the High Street store staff.,Positive feedback; no issue requiring resolution.
1954,Expressing appreciation.,Positive feedback; no issue resolution needed.
1955,Lack of Sea Moss and Burdock Root in stock.,Alternative product suggestions provided.
1956,Seeking eye health supplement recommendation.,Recommended Lutein & Bilberry Capsules for eye health; confirmed Bristol store availability.
1957,Incorrect protein bar size received.,"Incorrect protein bar sizes sent; correct sizes to be resent, customer can keep incorrect ones."
1958,Ineffective probiotics.,Continue probiotic use; improvement may take time; consult healthcare professional if no change.
1959,Account accidentally deleted.,Account recreated.
1960,Lack of keto-friendly snack variety in-store.,Provided links to online keto protein bars.
1961,Incorrect order fulfillment.,"Incorrect order shipped; essential oils re-shipped, skincare kept."
1962,Felt pressured into buying unwanted items.,Return instructions emailed.
1963,Expressing appreciation.,No issue; expressing appreciation for a discount.
1964,Spoiled food caused illness; unsatisfactory response to complaint.,£50 voucher offered; further investigation promised.
1965,Lack of knowledgeable staff in Birmingham store; request for energy supplement advice.,Feedback provided on Birmingham store staff; B12 and Iron supplements ordered.
1966,Finding online deals matching in-store deals.,"Directed customer to website's ""Offers"" section for online deals."
1967,Discontinued preferred Omega-3 supplement.,Feedback forwarded; alternative products offered.
1968,Unexpected added oil in nuts.,Recommended oil-free nuts.
1969,Damaged items in delivery.,Replacement items dispatched.
1970,Poor skincare display in Leeds store.,Feedback provided; store organization issue reported to manager.
1971,Requesting information on H&B Vitamin C with Rosehips.,Provided information on Vitamin C with Rosehips dosage and benefits.
1972,Missing items in order.,Missing items to be resent.
1973,Authenticity of elderberry syrup.,Elderberry syrup authenticity confirmed.
1974,Peanut butter separation.,Natural peanut butter separation is normal; stir to mix.
1975,Late next-day delivery.,Refund issued for delayed delivery.
1976,Late international delivery.,Shipping delay explained; no further action needed.
1977,Sweet-tasting sugar-free almond milk.,Natural almond flavor causes sweetness; product is sugar-free.
1978,Unreceived Alipay payment.,Payment status unclear; agent will investigate and email update within 24 hours.
1979,Excessive product packaging.,Feedback noted; packaging issue acknowledged.
1980,Homophobic slur by staff member.,Investigation into homophobic comment by staff member initiated.
1981,Missing order confirmation email.,Missing order confirmation email resent.
1982,Loyalty points not showing in app.,Loyalty points manually added to account.
1983,Delayed refund processing.,Refund issue escalated; resolution expected within 48 hours.
1984,Positive feedback; no issue.,Positive feedback; no issue requiring resolution.
1985,Failed delivery of protein powder order.,Redelivery arranged.
1986,Incorrect product labeling/aluminum in aluminum-free deodorant.,Replacement deodorant sent.
1987,Unresponsive customer service regarding a subscription order.,Delayed response due to high volume; order shipped separately due to stock issues; 10% discount offered.
1988,Unable to log in.,Password reset.
1989,Incorrect order received.,"Incorrect order received; correct item will be sent, customer can keep incorrect item."
1990,Price increase of Vitamin D3 supplements.,Sign up for loyalty program to get discounts.
1991,Out-of-stock elderberry syrup.,Online order placed.
1992,Leaking skincare product in order.,"Replacement bottle sent, refund issued."
1993,Unreceived order; seeking refund.,Refund processed.
1994,Positive feedback on London store staff.,Positive feedback provided; no issue to resolve.
1995,Poor customer service at Serpentine Peterborough store.,Feedback on poor customer service reported to store manager.
1996,Echinacea drops out of stock in Leeds store.,Echinacea drops out of stock; expected back in a week.
1997,App keeps logging out.,Website access for order history; app issue reported to tech team.
1998,Out-of-stock items in-store.,Online order placed for unavailable in-store items.
1999,Delayed order delivery.,Order delayed due to inventory issue; expedited shipping and complimentary gift offered.
2000,"Store refused return of unopened, in-policy item.",Store manager contacted to authorize return.
2001,Positive feedback on Bournemouth branch.,Positive feedback shared; no issue to resolve.
2002,Missing order updates.,Order status confirmed; delivery expected tomorrow.
2003,Poor customer service at Serpentine Peterborough store.,Feedback reported to store manager.
2004,"Damaged package, missing items.",Missing items will be resent.
2005,Menopausal joint pain.,Recommended Turmeric and Glucosamine supplements for joint pain.
2006,Missing in-store offer notifications.,Sign up for newsletter or app for in-store deal notifications.
2007,Lack of shipping updates.,Order status update provided.
2008,Incorrect discount applied to online order.,Refund issued for overcharged order.
2009,Expressing gratitude.,Expressing gratitude for a sale.
2010,Unwanted gelatin in Omega-3 capsules.,Offered exchange for vegan alternative.
2011,Inaccurate in-store promotional signage.,10% discount applied to account for in-store pricing error.
2012,Incomplete order.,Missing chamomile tea will be shipped.
2013,Order confirmation email not received; order was lost in transit.,Order reshipped.
2014,Discontinued Spirulina powder.,Offered alternative spirulina product.
2015,Allergic skin reaction to Aloe Vera gel.,Refund issued; customer to return product.
2016,Poor customer service at Swansea Quadrant store.,Feedback reported to store manager.
2017,Website promotion misunderstanding.,Promotion requirements clarified; new order assisted.
2018,Expressing gratitude for a discount.,Expressing gratitude for a discount.
2019,Delayed order delivery.,Shipping delay explained; package dispatched.
2020,Unprocessed PayPal payment.,Payment processing issue escalated to billing; update within 24 hours.
2021,Delayed supplement delivery; requested refund.,Refund processed for delayed order.
2022,Suspected counterfeit essential oils.,Smell variations are normal; oils are genuine.
2023,Incorrect delivery address.,Replacement order sent.
2024,Increased product prices.,No resolution needed; customer inquired about price increases.
2025,Order not dispatched.,"Order cancelled, refund initiated."
2026,Order cancellation due to stock issue; delayed refund.,Expedited refund due to cancelled order.
2027,App profile update error.,App issue; temporary system problem.
2028,Rude and unprofessional staff at Ealing Broadway store.,Complaint escalated to store manager for investigation.
2029,Click and collect order out of stock.,"New order placed, 300 loyalty points added."
2030,Concern about silicon dioxide in collagen supplement.,Provided information sheet on silicon dioxide safety.
2031,Misleading in-store advertising of a BOGO offer.,Refund issued for incorrectly charged BOGOF item.
2032,Ineligibility of Omega-3 supplements for Penny Sale.,Protein powder 10% discount offered; Omega-3 excluded from Penny Sale.
2033,Loyalty card not adding to app.,Card number format issue resolved.
2034,Returning unwanted herbal teas.,Confirmed return eligibility.
2035,Order cancellation request.,"Order cancelled, refund processed."
2036,Incomplete vitamin order; refund requested.,Refund issued for missing items.
2037,Felt pressured into buying too many items.,Return instructions emailed.
2038,Positive feedback on Birmingham store staff.,Positive feedback on Birmingham store staff.
2039,Lack of promised follow-up call.,Follow-up call promised within 24 hours.
2040,Verification of product authenticity.,Product authenticity confirmed.
2041,Expressing gratitude for excellent service.,Positive feedback; no issue requiring resolution.
2042,Delayed supplement delivery.,Refund processed due to shipping delay.
2043,Missing parcel.,Lost parcel reshipped.
2044,Price match request.,Price match provided.
2045,Incorrectly charged for BOGOF promotion.,Refund issued for incorrect charge.
2046,Order not received; requested cancellation.,"Order cancelled, refund initiated."
2047,Lack of organic skincare variety in-store.,Provided online product recommendations.
2048,Discount code not working.,Issued new discount code.
2049,Incorrect product received.,Replacement order issued.
2050,Reason for contact: Complimenting excellent service.,Positive feedback given.
2051,Expressing appreciation for excellent service.,Positive feedback; no resolution needed.
2052,Positive feedback.,Positive feedback given; no resolution needed.
2053,BOGO promotion not applying as expected.,Promotion applies only to two of the same item.
2054,Order cancellation due to out-of-stock item.,New order placed after stock issue caused cancellation.
2055,Delayed order.,Order delayed; free express shipping offered.
2056,Limited conscious beauty product selection.,Planned expansion of conscious beauty brands in two months.
2057,Damaged muesli delivery; no replacement/refund received.,Replacement muesli packet and discount coupon issued.
2058,Short shipment of collagen.,Missing sachets will be sent; discount voucher provided.
2059,Unpleasant aftertaste from fish oil capsules.,Take with meals; try enteric-coated capsules if needed.
2060,Seeking immune system boosting supplement advice.,"Supplement recommendations: Vitamin C, zinc, and echinacea."
2061,Order cancellation.,Order cancelled; refund issued.
2062,Damaged product packaging.,Replacement order dispatched.
2063,Positive feedback on Cardiff store staff.,Positive feedback given; no issue resolution needed.
2064,Subscribe & Save price increase.,Price increase explained: supplier cost increase for multivitamins.
2065,Delayed order delivery.,New shipment expedited; 10% discount added.
2066,Positive feedback on store organization.,Positive feedback given; no issue to resolve.
2067,Poor store stocking.,Store manager notified; 10% discount offered.
2068,Delayed refund processing.,Refund processing error corrected; resolution within 48 hours.
2069,Incorrect order ready notification.,Order collection notification error; order will be ready later today.
2070,Expressing appreciation for a promotion.,Positive feedback on promotion.
2071,Online payment failure.,Temporary payment gateway issue resolved.
2072,Verification of cruelty-free status.,Products confirmed cruelty-free.
2073,Adding forgotten loyalty points.,Positive feedback; no issue resolution needed.
2074,Account deactivation.,Account reactivated.
2075,Order processing delay.,Order processing delay due to stock issues.
2076,Taste difference in apple cider vinegar.,"Taste variation explained; new batch, same ingredients."
2077,Damaged protein powder seal.,Full refund issued for damaged product.
2078,Package delivered to wrong address.,Replacement order issued due to delivery to wrong address.
2079,Positive feedback on Castle Point branch.,Positive feedback given; no issue to resolve.
2080,Seeking product recommendations and promotion details.,Product recommendation and promotion information provided.
2081,Missing nutritional information (sugar content).,Sugar content provided: 0g.
2082,BOGO offer not applied to order.,Manually applied BOGO discount.
2083,Unwanted impulse purchase return.,Return authorized.
2084,Unhelpful staff in Birmingham store.,Complaint escalated to store manager; 15% discount offered.
2085,Missing item in order.,Missing multivitamin bottle to be shipped.
2086,Damaged delivery.,"Replacement items sent, 10% discount offered."
2087,Inquiring about vegan protein powder deals.,20% discount on vegan protein powder reserved.
2088,Authenticity verification of echinacea drops.,Authenticity confirmed.
2089,Expressing gratitude for helpful staff.,Positive feedback; no issue resolution needed.
2090,Discontinued products; lack of notification.,No resolution provided; customer feedback on lack of transparency regarding discontinued products relayed to procurement team.
2091,Delayed order delivery.,Order reshipped with priority delivery; discount added for next purchase.
2092,Inconsistent store service.,Feedback forwarded to store manager.
2093,Short shipment of collagen sachets.,Refund issued for missing items plus discount voucher.
2094,Felt pressured into overbuying supplements.,Feedback provided; no resolution needed.
2095,Late supplement delivery.,10% discount for late delivery.
2096,Lost order.,Replacement order issued.
2097,Delayed order delivery.,Order delivery delayed; expedited shipping.
2098,Positive feedback on store organization.,Positive feedback; no issue.
2099,Late vitamin delivery.,Order rerouted for in-store pickup.
2100,Order cancellation.,Order cancellation and refund initiated.
2101,Different taste of vitamins.,Replacement product sent.
2102,Limited in-store probiotic selection.,Provided online links to high-potency probiotics.
2103,Split subscription delivery without notification.,System error caused split shipments;  future orders will be fixed.
2104,Discontinued vitamin tablets.,Offered alternative product and discount code.
2105,Request for tea recommendations and reservation.,Tea reservation in Ealing store.
2106,Delayed order.,Order prioritization; 3-day delivery expected.
2107,Unfriendly staff at Glasgow store.,Feedback forwarded to store manager.
2108,Delayed order delivery.,Delivery delayed; expected in 2-3 days.
2109,Denied free shopping bag.,Free bag promised for next visit.
2110,Incorrect email address on account.,Typo in email address corrected; password reset email sent.
2111,Expressing gratitude for a positive experience.,No issue; expressing appreciation.
2112,Missing item in online order.,Missing supplement bottle will be reshipped.
2113,Order sent to incorrect old address.,Order resent to correct address.
2114,Delayed vitamin delivery.,Expedited shipping for delayed order #890567.
2115,Racial discrimination by staff.,Investigation launched into discrimination claim.
2116,Positive feedback on Eastbourne store service.,Positive feedback; excellent service at Eastbourne location.
2117,Unknowledgeable staff.,Feedback provided; staff training to be improved.
2118,"Reason for contacting support: To compliment the Stowmarket store's cleanliness, tidiness, and helpful staff.",Positive feedback; no issue requiring resolution.
2119,Positive feedback on delivery speed.,Positive feedback on fast delivery.
2120,Product authenticity verification.,Organic certification confirmed.
2121,Lack of follow-up on reported tea batch issue.,Issue escalated; callback promised within 24 hours.
2122,Stale nuts in order.,Replacement nuts sent.
2123,Unprofessional staff behavior in Egham store.,Complaint escalated to store manager.
2124,Damaged multivitamin seal.,Refund issued for damaged multivitamin.
2125,Rude and unhelpful staff member.,Follow-up on rude staff complaint.
2126,Muscle cramps.,Magnesium supplement recommended.
2127,Seeking omega-3 supplement recommendation and store availability.,Product recommendation and store availability confirmed.
2128,High almond price.,15% discount applied.
2129,Incomplete order received.,Missing tablets will be shipped.
2130,Felt pressured into buying supplements.,Feedback given; return instructions emailed.
2131,Delayed vitamin delivery.,Shipping delay explained; order arriving in 1-2 days.
2132,Gluten-free bread mix caused digestive issues.,Refund issued; complaint forwarded to quality control.
2133,Recall concern (DHA drops).,Refund issued; recall was a false alarm.
2134,Purchased expired supplements.,Full refund and replacement provided.
2135,Order processing delay.,Order delayed due to stock issues; expected dispatch in two days.
2136,Changing delivery address.,Delivery address updated.
2137,Voucher code not working for online booking.,Manually booked appointment.
2138,Click and collect order not ready.,Order collection issue resolved; system error corrected.
2139,Lack of Vitamin B2 in penny sales.,Feedback submitted to marketing.
2140,Obscured product label information.,Feedback noted; label improvement underway.
2141,Google Pay not working in app despite internet connection.,Issue escalated to tech team; temporary workaround suggested.
2142,Poor customer service at Swansea Quadrant store.,Feedback on poor service at Swansea Quadrant store reported to manager.
2143,Racial discrimination by staff.,Investigation into racial discrimination complaint.
2144,Unclear ingredient list (bulking agents).,Bulking agent identified as microcrystalline cellulose.
2145,Order processing delay.,Order delayed due to high demand; expected shipment by end of week.
2146,Product not in penny sale.,Explanation of penny sale exclusions.
2147,Lost package in two-package order.,Lost package resent.
2148,Store closed early due to heating issue.,Store closed early due to heating system issue.
2149,Missing delivery update.,Order is in transit; delivery expected tomorrow.
2150,Coconut oil solidification.,Coconut oil solidifying at lower temperatures is normal.  Solution: Warm the jar.
2151,Order never arrived.,"Order cancelled, refund initiated."
2152,Missing B12 supplement order.,Replacement order issued.
2153,Positive feedback on Cambridge store staff.,Positive feedback given; no resolution needed.
2154,Price increase of supplements.,Informed of upcoming penny sale.
2155,Positive feedback.,Positive feedback given.
2156,Unhelpful and rude staff in Leicester store; complaint not acknowledged.,Complaint escalated to store manager; follow-up within 48 hours.
2157,Damaged multivitamin bottle; requesting replacement.,Replacement multivitamin bottle sent.
2158,Price increase on vitamins.,Buy one get one half price offer applied.
2159,Seeking personalized online shopping advice.,Provided information on online personalized advice options (chat and virtual consultations).
2160,In-store stock discrepancy.,Protein powder reserved at Conwy store; vitamins ordered for home delivery.
2161,Positive feedback on essential oil sale.,Positive feedback on essential oil sale.
2162,Lost vitamin order.,Lost order reshipped.
2163,Out-of-stock sale items.,Back-in-stock notification offered.
2164,Cluttered gluten-free display in Liverpool store.,Feedback relayed to store manager.
2165,Out-of-stock online order.,Backorder placed for out-of-stock item.
2166,Account reactivation failure.,Account reactivation attempted; escalated to tech team.
2167,Package not received despite delivery confirmation.,Replacement order sent due to delivery error.
2168,Received wrong (non-vegan) pasta sauce.,Incorrect item sent; correct vegan sauce dispatched.
2169,Order processing delay.,Order delayed due to stock issue; now dispatched.
2170,Discount not applied to vegan products.,10% discount applied to account for next purchase.
2171,Incorrect delivery address.,Replacement order sent to correct address.
2172,Lack of lather in shampoo.,Sulfate-free shampoo; less lather is normal.
2173,Ineffective hair serum application.,Apply serum directly to scalp and massage in.
2174,Incorrect order fulfillment.,"Incorrect item shipped; correct item reshipped, flax seeds given as compensation."
2175,Allergic reaction to sleep mist spray.,Refund initiated; product feedback escalated.
2176,Rude and unhelpful staff in Birmingham store.,Issue escalated to store manager.
2177,Unpleasant taste of protein powder; return request.,Return accepted at Miramar store with receipt.
2178,Recall misinformation regarding children's vitamins.,Refund processed due to recall notification error.
2179,Positive feedback on Covent Garden store staff.,Positive feedback given; no issue to resolve.
2180,Lack of follow-up on a product issue.,Issue escalation; follow-up promised within 24 hours.
2181,Unable to log in.,Temporary login link provided; technical issue escalated.
2182,Failed delivery of herbal tea order.,Re-delivery arranged.
2183,Incorrect product dosage.,Refund issued for dosage discrepancy.
2184,Online discount not applied at checkout.,Discount manually applied.
2185,App features and local offers.,App shows in-store prices and offers; Coventry store has BOGOF deals on vitamins.
2186,Positive feedback on Bournemouth branch staff.,Positive feedback shared; no resolution needed.
2187,Lack of follow-up on Trustpilot review.,Follow-up on Trustpilot review promised.
2188,Spoiled almond flour.,Replacement almond flour arranged.
2189,Rude and unhelpful staff.,Complaint logged; store manager notified.
2190,Missing nutritional information on protein bar packaging.,"Provided nutritional information (3g net carbs, 15g protein, 7g fat)."
2191,Unfriendly store staff.,Feedback submitted; no specific resolution provided.
2192,Damaged product upon arrival.,Replacement product sent.
2193,Incorrect pricing on a 3-for-2 offer.,Refund issued for price difference.
2194,Failed delivery.,Redelivery arranged.
2195,Offensive staff behavior at Upper Street branch.,Complaint escalated to store manager for investigation.
2196,BOGO promotion not automatically applied at checkout.,Promotion applied manually.
2197,Inquiring about and reserving Omega-3 supplements.,Omega-3 supplements reserved for pickup.
2198,Price inquiry/sale information.,Information on upcoming sales (Penny Sale).
2199,Rude staff member in Leeds store.,Complaint about rude staff member filed; investigation promised.
2200,Positive feedback on Swiss Cottage store staff.,Positive feedback on Swiss Cottage store staff.
2201,Inquiry about upcoming offers/discounts.,Information on current offers provided.
2202,Delayed delivery of order to Japan.,"Shipping delay due to customs; package released, delivery expected in 3-5 business days."
2203,Unable to reset password.,Manual password reset sent.
2204,Dairy-free cheese caused allergic reaction.,Refund issued; quality control investigation initiated.
2205,Website performance issues.,Order placed via phone due to website issues.
2206,Positive feedback on Swiss Cottage store staff.,Positive feedback given; no issue to resolve.
2207,Expressing appreciation for fast delivery.,Positive feedback; no issue resolution needed.
2208,Out-of-stock BOGO items.,Products out of stock; notification signup offered.
2209,Lack of follow-up on a protein shake order issue.,Issue escalated; callback promised within 24 hours.
2210,Delayed order delivery.,Order reshipped with priority delivery.
2211,Missing subscribe & save order.,Order expedited; delivery within 3 days.
2212,Delayed order delivery.,New shipment arranged.
2213,Click and collect order not received by store.,Order processing error fixed.
2214,Delayed order.,Order delayed; expected delivery in 2-3 days.
2215,Switching Vitamin C subscription brand.,Subscription updated to requested brand.
2216,Buyer's remorse; return request.,"Return authorized; unopened snacks, within 30 days."
2217,Click & collect order retrieval delay.,Feedback provided; process improvement noted.
2218,Unable to log in; email not recognized.,Issue escalated to technical team for resolution.
2219,Incorrect order fulfillment.,Missing item sent; extra item kept as apology.
2220,Missing order confirmation email.,Resent order confirmation email.
2221,Discontinued product; needs alternative.,Offered alternative garlic supplement.
2222,Request for product information.,Provided information on Biotin tablet usage.
2223,Empty shopping cart at checkout.,Phone order placed due to website cart malfunction.
2224,Aloe Vera gel out of stock in-store.,Product temporarily out of stock in store; online order with free shipping offered.
2225,Delayed supplement delivery; requested refund.,Refund processed.
2226,Missing compensation voucher.,Voucher resent.
2227,Missing item in order.,Missing item reshipped; 10% discount offered.
